team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2022 South Dakota St.,Baylor Scheierman,Charlie Easley,Zeke Mayo,Alex Arians,Douglas Wilson,14.1,11.2,14.7,14.7,0.4
2022 USC,Boogie Ellis,Max Agbonkpolo,Drew Peterson,Chevez Goodwin,Isaiah Mobley,14.3,15.9,14.7,12.1,7.6
2019 Northeastern,Vasa Pusica,Jordan Roland,Donnell Gresham Jr.,Bolden Brace,Anthony Green,14,14.1,14.6,12,4.4
2023 Vermont,Dylan Penn,Kam Gibson,Finn Sullivan,Robin Duncan,Matt Veretto,11.3,12.3,14.5,11.2,3.3
2023 Colgate,Braeden Smith,Oliver Lynch-Daniels,Tucker Richardson,Ryan Moffatt,Keegan Records,14.7,12.4,14.4,14.4,3.3
2021 North Texas,Javion Hamlet,Mardrez McBride,James Reese,Thomas Bell,Zachary Simmons,13,16.3,14.3,8.2,5.8
2015 St. John's,Rysheed Jordan,Phil Greene IV,D'Angelo Harrison,Sir'Dominic Pointer,Amar Alibegovic,12.8,17.4,14.3,7.9,6
2022 Michigan St.,Tyson Walker,Max Christie,Gabe Brown,Joey Hauser,Marcus Bingham Jr.,11,13.7,14.3,13.1,8.7
2020 UCLA,Tyger Campbell,David Singleton,Jaime Jaquez Jr.,Chris Smith,Jalen Hill,10.5,12.7,14.2,8.6,8.1
2023 Iowa St.,Tamin Lipsey,Gabe Kalscheur,Jaren Holmes,Tre King,Robert Jones,9.3,17.8,14.2,0.8,11
2018 Missouri,Jordan Geist,Kassius Robertson,Kevin Puryear,Jeremiah Tilmon,Jontay Porter,11.9,15.3,14.1,4.7,4
2019 Temple,Shizz Alston Jr.,Nate Pierre-Louis,Quinton Rose,J.P. Moorman II,Ernest Aflakpui,12.4,16.3,14,8.4,5
2019 St. John's,Shamorie Ponds,Justin Simon,Mustapha Heron,LJ Figueroa,Marvin Clark II,14.1,16.8,14,9.7,6.7
2020 Vermont,Stef Smith,Ben Shungu,Everett Duncan,Anthony Lamb,Daniel Giddens,10,14.5,13.9,5.6,9.8
2023 Furman,JP Pegues,Mike Bothwell,Marcus Foster,Jalen Slawson,Garrett Hien,13.7,13.2,13.9,12.4,3.3
2019 Arizona St.,Remy Martin,Rob Edwards,Luguentz Dort,Romello White,Zylan Cheatham,11.4,16.5,13.8,8.1,5.4
