team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2013 Creighton,Austin Chatman,Jahenns Manigat,Grant Gibbs,Doug McDermott,Gregory Echenique,16.6,16.2,26.9,18.7,19
2013 Davidson,Nik Cochran,JP Kuhlman,Chris Czerapowicz,De'Mon Brooks,Jake Cohen,13.3,14,16.9,14.4,4.2
2013 Duke,Quinn Cook,Seth Curry,Rasheed Sulaimon,Ryan Kelly,Mason Plumlee,21.8,20.4,39.1,28.1,16
2013 Florida,Scottie Wilbekin,Kenny Boynton,Mike Rosario,Erik Murphy,Patric Young,18.5,21.5,38,21.4,20
2013 Florida Gulf Coast,Brett Comer,Bernard Thompson,Sherwood Brown,Chase Fieler,Eric McKnight,9.9,14.8,13.8,7,9.7
2013 Georgetown,Markel Starks,D'Vaun Smith-Rivera,Jabril Trawick,Otto Porter,Nate Lubick,13.7,21.6,29.5,13,19.6
2013 Gonzaga,Kevin Pangos,Gary Bell Jr.,Mike Hart,Elias Harris,Kelly Olynyk,19,17.4,42,28.4,16.9
2013 Harvard,Siyani Chambers,Christian Webster,Laurent Rivard,Wesley Saunders,Kenyatta Smith,11.4,14.6,8.7,5.1,5
2013 Illinois,Tracy Abrams,D.J. Richardson,Brandon Paul,Tyler Griffey,Nnanna Egwu,13.1,16.3,20.3,11.3,11
2013 Indiana,Kevin Yogi Ferrell,Jordan Hulls,Victor Oladipo,Christian Watford,Cody Zeller,20.8,19.6,42.7,28.4,17.5
2013 Iona,Tavon Sledge,Lamont Jones,Sean Armand,Taaj Ridley,David Laury,15.4,11.6,9.3,12.5,-1.8
2013 Iowa St.,Korie Lucious,Chris Babb,Will Clyburn,Melvin Ejim,Georges Niang,15.3,15.1,18.4,16.3,4.7
2013 James Madison,Devon Moore,Andre Nation,Alioune Diouf,A.J. Davis,Rayshawn Goins,7.8,12.7,5.1,3.4,5
2013 Kansas,Elijah Johnson,Ben McLemore,Travis Releford,Kevin Young,Jeff Withey,16.4,21.3,37,19,17.5
2013 Kansas St.,Angel Rodriguez,Martavious Irving,Rodney McGruder,Shane Southwell,Thomas Gipson,12.9,14.9,22.1,16.4,6
2013 La Salle,Tyreek Duren,Tyrone Garland,Sam Mills,Ramon Galloway,Jerrell Wright,14.4,16.2,19.1,15.1,7.6
2013 Liberty,John Caleb Sanders,Davon Marshall,Tavares Speaks,Andrew Smith,JR Coronado,10.3,10.4,1.9,7.3,-3.4
2013 LIU,Jason Brickman,C.J. Garner,Brandon Thompson,E.J. Reed,Jamal Olasewere,11.6,8.2,-0.9,8,-9.6
2013 Louisville,Peyton Siva,Russ Smith,Wayne Blackshear,Chane Behanan,Gorgui Dieng,15.4,22.4,38.4,18.7,20.1
2013 Marquette,Junior Cadougan,Vander Blue,Trent Lockett,Jamil Wilson,Davante Gardner,14.2,14.7,24.3,17.6,9.6
2013 Memphis,Joe Jackson,Geron Johnson,D.J. Stephens,Adonis Thomas,Shaq Goodwin,11.5,17.2,22.1,8.9,14.3
2013 Miami FL,Shane Larkin,Durand Scott,Trey McKinney Jones,Julian Gamble,Kenny Kadji,16.2,20.1,29.4,16.3,12
2013 Michigan,Trey Burke,Nik Stauskas,Tim Hardaway Jr.,Glenn Robinson III,Mitch McGary,21.1,17.5,35.1,26.1,12.2
2013 Michigan St.,Keith Appling,Gary Harris,Branden Dawson,Adreian Payne,Derrick Nix,16,20.3,33.4,17.9,16.4
2013 Middle Tennessee,Bruce Massey,Marcos Knight,Kerry Hammonds,JT Sulton,Shawn Jones,7.6,15.3,19.5,6.4,9.7
2013 Minnesota,Andre Hollins,Austin Hollins,Joe Coleman,Rodney Williams,Trevor Mbakwe,15.5,17.2,28.4,19.2,10.6
2013 Mississippi,Marshall Henderson,Nick Williams,Ladarius White,Murphy Holloway,Reginald Buckner,12.6,15.9,19.9,13.5,9.2
2013 Missouri,Phl Pressey,Keion Bell,Jabari Brown,Laurence Bowers,Alex Oriakhi,17.3,16.7,27.8,20.2,11.4
2013 Montana,Will Cherry,Jordan Gregory,Kareem Jamar,Spencer Coleman,Eric Hutchison,8.8,11.7,6.1,4.4,2.2
2013 NC St.,Lorenzo Brown,Scott Wood,C.J. Leslie,T.J. Warren,Richard Howell,18.9,16.7,25.3,20,10
2013 New Mexico,Kendall Williams,Hugh Greenwood,Tony Snell,Cameron Bairstow,Alex Kirk,14.3,19.2,25.9,14.4,11.7
2013 New Mexico St.,Kendall Williams,Hugh Greenwood,Tony Snell,Cameron Bairstow,Alex Kirk,14.3,19.2,25.9,14.4,11.7
2013 North Carolina,Marcus Paige,Dexter Strickland,P.J. Hairston,Reggie Bullock,James Michael McAdoo,14.3,16.8,26.1,17.4,14.5
2013 North Carolina A&T,Lamont Middleton,Jean Louisme,Adrian Powell,Austin Witter,Bruce Beckford,3.5,15.4,1.8,-4,-1.2
2013 Northwestern St.,Jalan West,Brison White,Gary Roberson,Marvin Frazier,James Hulbin,7.5,8.9,7.8,6.7,-0.7
2013 Notre Dame,Jerian Grant,Eric Atkins,Pat Connaughton,Jack Cooley,Tom Knight,17.1,16,24,16.4,12
2013 Ohio St.,Aaron Craft,Lenzelle Smith Jr.,Sam Thompson,Deshaun Thomas,Amir Williams,14.9,18.7,28.8,15.9,20.3
2013 Oklahoma,Sam Grooms,Je'lon Hornbeak,Steven Pledger,Amath M'Baye,Romero Osby,11.8,14,18.7,13.6,5.4
2013 Oklahoma St.,Marcus Smart,Phil Forte,Markel Brown,Le'Bryan Nash,Michael Cobbins,14.3,20,27.4,14,13.1
2013 Oregon,Dominic Artis,Damyean Dotson,E.J. Singler,Arsalan Kazemi,Tony Woods,10.5,17.2,21.2,9.1,11.6
2013 Pacific,Lorenzo McCloud,Sama Taku,Colin Beatty,Travis Fulton,Khalil Kelley,7.4,10.6,1.6,3.2,2.1
2013 Pittsburgh,Tray Woodall,James Robinson,Lamar Patterson,Talib Zanna,Steven Adams,13.9,17.6,32.6,18.6,16.8
2013 Saint Louis,Kwamain Mitchell,Mike McCall Jr.,Dwayne Evans,Grandy Glaze,Rob Loe,10.3,17.2,22.6,8.7,11
2013 Saint Mary's,Matthew Dellavedova,Jordan Giusti,Stephen Holt,Beau Levesque,Brad Waldow,15.6,13.9,24.4,17.9,10.8
2013 San Diego St.,Xavier Thames,Chase Tapley,Jamaal Franklin,JJ O'Brien,Deshawn Stephens,12.1,18.9,22.5,9.6,12.4
2013 South Dakota St.,Nate Wolters,Brayden Carlson,Chad White,Tony Fiegen,Jordan Dykstra,14.8,13.3,10.6,13.3,-0.7
2013 Southern,Jameel Grace,Cameron Monroe,Derick Beltran,Javan Mitchell,Brandon Moore,3.2,13.4,-10.3,-13,-0.9
2013 Syracuse,Michael Carter-Williams,Brandon Triche,James Southerland,C.J. Fair,Rakeem Christmas,16.8,20.8,33.1,18.2,17.3
2013 Temple,Khaliff Wyatt,Will Cummings,Rahlir Hollis-Jefferson,Scootie Randall,Jake O'Brien,12.8,14.6,18.8,13.5,8.1
2013 UCLA,Larry Drew II,Jordan Adams,Shabazz Muhammad,Travis Wear,Kyle Anderson,15.2,17.7,22.9,15.2,7.4
2013 UNLV,Anthony Marshall,Katin Reinhardt,Bryce Dejean-Jones,Khem Birch,Anthony Bennett,11.5,18,24.2,11.5,9.6
2013 Valparaiso,Erik Buggs,Will Bogan,Matt Kenney,Ryan Broekhoff,Kevin Van Wijk,11.8,14.2,19.3,13.8,11.5
2013 VCU,Darius Theus,Rob Brandenberg,Troy Daniels,Treveon Graham,Juvonte Reddic,15.6,16.5,29.9,23.4,14
2013 Villanova,Ryan Arcidiacono,Darrun Hilliard,James Bell,JayVaughn Pinkston,Mouphtaou Yarou,12.1,17.5,20.2,10.9,11.1
